Text|Label
i would like to know when the national archives will begin to work|0
the strongest wind force measured near the centre of tropical depression no 8 was at beaufort scale 6 39 to 49 kilometres per hour with wind gusting to above beaufort scale 6|0
i need help because i lost my mother and my father only my brother i feel desperate i beg you please come help me|1
i would like to send some informations for me please|0
in addition it intends to concentrate on promoting community participation in decision making about reconstruction priorities strengthening local governments' capacities to implement reconstruction efforts that involve strong citizen involvement supporting small businesses and business associations providing legal assistance psychological counseling and other services important to vulnerable populations|0
while the total impact on grain production is unclear china has said the flooding slashed summer grain output by 11 percent from last year's harvest|1
researchers from the university of oxford and the hadley centre for climate prediction and research showed that the rise of manmade greenhouse gases in the atmosphere has at least doubled the risk of a heatwave exceeding the record shattering heatwave that stuck europe in 2003|0
it will also construct the 1 000 cubic metre water storage tower that has the capacity to provide water to the entire pottuvil town|0
an important effort to enhance protection particularly for women and children was to put up 30 solar lighting posts at the main access passageways and within the settlement|1
priority activities of the organisation include the employment of single mothers provision of small credits to women assistance to large families healthcare issues and running a free soup kitchen for single pensioners|0
the uss essex an amphibious ship carrying a 31st marine expeditionary unit is still a couple days away|0
rt cnnireport magnitude 7 0 earthquake reported near haiti share information and images with cnn http bit ly 4ilyl #ireport|0
i have men 's clothing t shirts jeans socks and a few women 's pants i have some canned goods and pasta as well|1
please send me a phone's card because i do not have money to buy it i am waiting for it|0
where can i find assistance aid support give me a reference please|1
there our relief team has encountered numerous cases of severely undernourished children|1
the most recent humanitarian priorities are i provision of essential services in residual camps ii carrying out the return barrier survey and iii monitoring relocation at the point of departure and arrival in the camps for the population from the at risk 18 villages|1
help at 3rlle du travail au college lamartinere help us need note could not locate on map|0
on november 26 minister for foreign affairs of the prc li zhaoxing in conversation with russian ambassador in china sergey razov in the presence of members of the media offered the official apologies of the government of china for the ecological damage and for the delay in providing data|0
syed mazahir abbas mouza shahwali tehsil ali pur district muzaffar garh about 300 housholds starvation no rescue team reached|1
vtv showed pictures of famished villagers swamping relief helicopters as they landed|1
in addition it seems that unveiled women have allegedly received threats and intimidation and there are allegations that non muslims in the northern part of the country may have been deliberately targeted and killed by extremist religious groups|0
ii would like to know if we don't still broadcast the information we must to know again|0
the sms evitons 2 traiter 1 tas blaissons 2 cot 7 kesyon ke tu sois direct tais notre mach conclus 2 c matin j't'attends|0
admissions of children with severe acute malnutrition to community based therapeutic care ctc centres were also high in february with over 5 000 new admissions reported|1
hello loco i listen to the radio since leogane my is simone i ask you to pass for me the music edgefatal|0
khaw mhu myanmar may 29 reuters myanmar's junta is evicting dozens of destitute families from one of its own cyclone refugee centres giving each one just four bamboo poles a tarpaulin and an unlikely promise of a monthly ration of rice|1
the yeu water and sanitation team built trash cans that will separate organic from inorganic material|0
duration summer 2010 to present human impact 6 million people face food shortages and resources to care for livestock women especially are affected as they implement household coping strategies during times of crisis|1
while water levels in many areas are now beginning to recede unseasonal rain in amhara region and continuing rainy seasons in the flood affected areas of snnpr and gambella region increase the risk of further flooding|0
how can i get to france because i am stuck in haiti no further info|0
as many as 14 critically wounded patients from the quake hit areas were transferred to cuba for treatment local officials at the cuban field hospitals in the north west frontier province district of mansehra said|1
it would be ideal if the government were to identify villages that had the capacity to produce enough milk to set up similar ventures said sy moussa of amad which continues to provide technical support to ari hara|0
meanwhile icrc pmi engineers continued trucking clean water and installing water tanks and sanitation facilities where they were most urgently needed|1
hi my brother how are you i hope you are fine|0
is it true that the political city will held in hinche|0
the one advantage is that in el niño years madagascar is spared the seasonal cyclones|0
i am a victim i have lost everything i had and i have not found any help i am in the road|0
haiti presidential palace before and after earthquake http twitpic com xvzzt #haiti|1
the strongest quake to hit the area since 1976 has killed almost 2 000 people and left tens of thousands homeless in the mountainous tibetan plateau in southwest china|1
new overview thousands feared dead as major quake strikes haiti n reuters reuters a major earthquake rocke http bit ly 6gnzii|1
what we must to do for stoping the stress|0
early in the morning on january 17 mount nyiragongo in eastern congo on the border between rwanda and congo erupted spewing lava in several directions|1
7 6 quake shakes tall buildings in singapore kuala lumpur|0
waiting for the plane at the airport quite boring cold in santiago tonight wanna smoke|0
do that we have the risk of earthquake this weekend|0
good morning i need some information i never get it|0
good evening i would like to find information as usual it is long since i did more|0
adra was granted general consultative status by the economic and social council of the united nations in 1997|0
i have got no mosquito net i want one|1
wfp interventions will mainly take place through on going projects|0
good morning i am in haiti i need my father and godfather find food for us to eat and a place for us to sleep the address where we are is near pot lathan royal m b c is the number|1
rt omarepps 7 0 earthquake hit haiti to help the relief process go to artistsforpeaceandjustice com r whatever you can donate is needed|1
everybody is gone from the earthquake my house is crushed i don't have any possibility to buy anything if anyone can help me find a job|1
we are not dead thanks to the lord we need food we are in delmas 87 we are suffering of hunger|1
the coverage of the remote areas with food clean water and medical assistance has been a very difficult and expensive task due to disrupted communications|1
lindborg said that the united states and other major donors would meet in kenya in late march to support longer term horn of africa plans which have included vaccinating livestock and encouraging alternative livelihoods|0
more heavy rain was forecast for the upper reaches of the huai on wednesday night and throughout thursday to compound the disaster china central television said showing pictures of troops rescuing stranded villagers in speedboats|1
with the massive floods triggered by an undersea earthquake last sunday destroying roads bridges telecommunication networks and almost all other basic infrastructure distributing the aid once it arrives is proving problematic|1
#frankenstorm at its best stonewall inn http t co ueyxqdjnthank you bubbakoos #sandy #sandynj power wifi and hot food photos coming soon bubbakoo's burritos http t co zjctkaifpeople wait inline for black ice #damage #nopower #hurricanesandy #lohud #lohudsandy #c town of mamaroneck http t co bk39vm2psending out prayers to all who has been affected by sandy stay safe|1
please is it possible to do my passport|0
please where is the senegal embassy|0
the combination of favorable climatic conditions and the bridge which greatly facilitated access increased last harvest production to 7 800 metric tons in comparison to 2011 harvest of 2 200 metric tons which was one of the worst harvests in recent years|0
tawangmangu indonesia dec 27 2007 afp indonesian rescuers pulled corpses from mud thursday as they hunted for victims of landslides and floods on java island that have left more than 130 people feared dead officials said|1
the acceleration of unlawful arrest and spread of widespread and systematic violations was worrying|0
1 whole foods is open 2 no lines 3 real fooodd #sandy whole foods http t co snqgylzwclifton schools still without power closed on thursday northjersey com http t co 4oclhyie #clifton #nj|1
where do i find my card while in nerettes|0
with a group of stakeholders from the project 'mobility' whose first objective is to assure the protection of unaccompanied migrant children tdh has showcased a set of key messages that have served them in their malian children's aid mission 1|0
people from source corossol the locals are in the street and no official has come to vist and help with the destruction|1
the quake measuring 6 9 on the richter scale and epicentered around 20 km north east of bhuj in gujarat occurred at 08 46 ist indian standard time according to the indian seismological department|0
they are throwing food out to make people fight for it thank you|1
children and elderly who are handicapped are without help food drink water clothing medicine|1
ready to eat food pop top tuna and chicken shelf stable milk cereal bread juice peanut butter and jelly|0
at least 39 people have been killed in fresh clashes between rival communities in the tana river district in kenya's coast province police say|1
there are several community water taps but residents complain of lack of adequate toilets which are usually clogged with water and waste during the rainy season|1
i would like to know where the african embassy is located in haiti|0
and when there is trouble with the shelters|1
